crop,soil_type,temperature,humidity,rainfall,fertilizer,irrigation,yield
6,3,15.9,79.6,1830.9,133.7,4,4.946
4,3,10.7,92.9,2514.1,63.7,2,1.431
7,3,29.8,67.8,120.5,6.9,4,14.264
7,3,21.7,56.9,2377.0,59.9,3,24.009
6,3,11.5,67.5,594.5,19.5,0,3.735
4,1,17.7,72.8,1869.0,250.0,3,1.82
2,5,18.3,71.4,1004.0,156.0,0,7.608
6,1,24.4,52.7,2787.3,218.2,1,4.955
6,5,11.4,47.8,1227.2,81.4,3,2.757
3,3,18.8,45.7,579.3,4.7,3,2.733
0,0,19.4,26.0,676.6,213.4,3,5.79
1,1,39.3,84.5,1403.4,28.6,0,3.035
6,5,33.3,69.6,2672.9,141.7,4,4.325
0,4,17.6,42.9,217.3,213.2,1,5.184
1,1,13.5,27.2,1945.6,94.3,3,2.472
6,4,16.5,91.0,1836.7,208.4,2,4.898
3,1,35.9,69.3,2627.2,241.1,1,4.13
3,0,18.7,70.3,101.5,105.8,0,3.153
2,5,23.4,40.5,447.6,101.3,2,5.34
7,0,21.6,93.0,2891.1,75.5,3,23.355
1,2,14.7,94.8,873.7,293.0,0,4.988
7,0,17.7,35.1,1519.4,295.7,0,39.938
7,3,21.8,42.0,2429.1,141.1,2,29.166
6,0,20.3,38.1,218.2,177.3,0,4.371
2,3,32.8,81.7,1111.1,28.9,2,6.493
6,1,31.6,76.5,706.3,162.4,0,4.627
1,2,15.6,93.8,1598.2,78.2,3,3.016
6,0,21.2,75.8,2701.6,266.1,0,7.396
7,0,12.7,36.3,2705.8,181.9,3,24.894
5,2,17.2,74.9,788.0,97.6,4,60.934
3,2,19.9,63.0,1575.6,190.9,0,4.624
5,4,38.5,69.2,2405.0,150.8,2,64.581
3,0,17.4,59.9,1758.8,230.6,4,5.043
5,2,10.5,90.0,1341.7,290.0,3,60.386
2,3,12.4,46.4,653.6,80.5,0,6.708
1,5,39.8,29.9,705.9,201.3,1,3.447
6,1,19.4,47.6,2561.1,41.0,2,3.246
1,1,18.2,67.8,336.6,1.6,2,2.566
3,4,30.8,74.1,2407.8,267.0,3,4.205
1,5,24.9,63.0,931.0,177.2,2,4.147
5,0,11.2,46.2,1657.5,98.0,3,55.771
3,4,36.9,38.6,1292.9,209.9,3,3.496
7,3,41.0,75.0,219.1,119.6,4,20.101
1,4,40.8,83.5,2118.3,122.7,1,3.845
1,1,24.2,41.8,372.2,54.9,0,2.877
4,4,23.4,42.3,1132.3,227.4,4,2.465
0,4,11.5,27.9,2580.8,211.1,3,4.467
7,4,15.5,55.4,1255.7,184.8,3,26.232
4,3,18.3,26.1,2807.0,150.3,1,2.092
7,1,37.8,69.5,2422.8,203.2,0,26.914
2,3,24.7,63.2,2830.2,115.8,0,9.523
0,1,37.0,26.6,2462.0,84.6,4,3.515
3,1,21.1,90.6,213.6,125.4,4,2.302
4,0,41.7,53.9,1178.9,232.9,2,2.182
7,5,17.6,72.6,2245.7,71.5,4,23.06
3,0,38.7,52.2,131.4,271.6,4,3.089
3,0,40.4,91.5,1763.0,189.6,3,3.052
0,3,16.8,91.2,2365.8,34.0,2,4.791
